epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,23.5249,1.39722,0.73622,0.98622,0.71443,0.000330709,0.000330709,0.000330709
2,36.1292,0.77026,0.7874,0.99803,0.53275,0.000631172,0.000631172,0.000631172
3,44.1052,0.61953,0.82874,0.99803,0.43436,0.000898635,0.000898635,0.000898635
4,52.6589,0.52662,0.85039,0.99606,0.42905,0.0008515,0.0008515,0.0008515
5,60.7587,0.47993,0.88386,1,0.29805,0.000802,0.000802,0.000802
6,69.1967,0.3509,0.88189,0.99803,0.35536,0.0007525,0.0007525,0.0007525
7,77.2501,0.32184,0.90354,1,0.28962,0.000703,0.000703,0.000703
8,85.6206,0.30642,0.90157,0.99606,0.26743,0.0006535,0.0006535,0.0006535
9,93.9292,0.24901,0.91929,1,0.23418,0.000604,0.000604,0.000604
10,102.111,0.249,0.91339,0.99803,0.24593,0.0005545,0.0005545,0.0005545
11,176.476,0.22052,0.91929,0.99803,0.21707,0.000505,0.000505,0.000505
12,185.797,0.17908,0.9252,1,0.19548,0.0004555,0.0004555,0.0004555
13,194.308,0.17061,0.93504,1,0.19519,0.000406,0.000406,0.000406
14,203.162,0.15978,0.9311,1,0.23019,0.0003565,0.0003565,0.0003565
15,211.226,0.14692,0.93701,1,0.19926,0.000307,0.000307,0.000307
16,219.865,0.14586,0.93307,1,0.1986,0.0002575,0.0002575,0.0002575
17,229.792,0.13187,0.93898,1,0.18367,0.000208,0.000208,0.000208
18,238.633,0.13754,0.93898,1,0.19136,0.0001585,0.0001585,0.0001585
19,249.21,0.13806,0.94291,1,0.18674,0.000109,0.000109,0.000109
20,259.631,0.12698,0.93504,1,0.18413,5.95e-05,5.95e-05,5.95e-05
